CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct RegWrite,RsEqRt ALUsrcB,ALUOP  A_reg      B_reg    sext_imm_reg  ALU_output   ALUout_reg  B_reg_pMEM  MEMwr,Mem2reg,   MDR_reg  ALUout_reg_pWB GPR_wr_data
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4     Funct_pEX      rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11  RegWr,Rd[MEM&WB]  rdbk13      rdbk14       rdbk15      
55  x"004000D4" x"01000008" x"00000008" x"08000008"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
56  x"004000D8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000208" x"004000F0" x"00000000"     x"00000008" x"004000F0" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
57  x"004000F4" x"0C10005A" x"0000005A" x"001F001A"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"004000F0" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
58  x"004000F8" x"00000000" x"00000000" x"00000000"     x"10000001" x"0000001A" x"00000000" x"00000000"     x"0000005A" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"004000F0" x"004000F0
59  x"0040016C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"011F0100" x"00000000" x"00000000" x"00000000
60  x"00400170" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0100011F" x"00000000" x"00000000" x"004000F4
61  x"00400174" x"03E00008" x"00000008" x"1F000008"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
62  x"00400174" x"03E00008" x"00000008" x"1F000008"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
63  x"00400174" x"03E00008" x"00000008" x"1F000008"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
64  x"00400178" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000208" x"004000F4" x"00000000"     x"00000008" x"004000F4" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
65  x"004000F8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"004000F4" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
66  x"004000FC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"004000F4" x"004000F4
67  x"00400100" x"20010001" x"00000001" x"00010001"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
68  x"00400104" x"20020002" x"00000002" x"00020002"     x"10000000" x"10000001" x"00000000" x"00007FFF"     x"00000001" x"00000001" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
69  x"00400108" x"00221820" x"00001820" x"01020320"     x"10000000" x"10000002" x"00000000" x"FFFFFFFF"     x"00000002" x"00000002" x"00000001" x"00007FFF"     x"01010100" x"00000000" x"00000000" x"00000000
70  x"0040010C" x"20010011" x"00000011" x"00010011"     x"10000000" x"00000220" x"00007FFF" x"FFFFFFFF"     x"00001820" x"00007FFE" x"00000002" x"FFFFFFFF"     x"01020101" x"00000000" x"00000001" x"00000001
71  x"00400110" x"20020022" x"00000022" x"00020022"     x"10000000" x"10000011" x"00000000" x"00007FFF"     x"00000011" x"00000011" x"00007FFE" x"FFFFFFFF"     x"01030102" x"00000000" x"00000002" x"00000002
72  x"00400114" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000022" x"00000000" x"FFFFFFFF"     x"00000022" x"00000022" x"00000011" x"00007FFF"     x"01010103" x"00000000" x"00007FFE" x"00007FFE
73  x"00400118" x"00221820" x"00001820" x"01020320"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000022" x"FFFFFFFF"     x"01020101" x"00000000" x"00000011" x"00000011
74  x"0040011C" x"20010111" x"00000111" x"00010011"     x"10000000" x"00000220" x"00000001" x"00000002"     x"00001820" x"00000003" x"00000000" x"00000000"     x"01000102" x"00000000" x"00000022" x"00000022
75  x"00400120" x"20020222" x"00000222" x"00020022"     x"10000000" x"10000011" x"00000000" x"00000011"     x"00000111" x"00000111" x"00000003" x"00000002"     x"01030100" x"00000000" x"00000000" x"00000000
76  x"00400124" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000022" x"00000000" x"00000022"     x"00000222" x"00000222" x"00000111" x"00000011"     x"01010103" x"00000000" x"00000003" x"00000003
77  x"00400128" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000222" x"00000022"     x"01020101" x"00000000" x"00000111" x"00000111
78  x"0040012C" x"00221820" x"00001820" x"01020320"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"00000222" x"00000222
79  x"00400130" x"20011111" x"00001111" x"00010211"     x"10000000" x"00000220" x"00000111" x"00000022"     x"00001820" x"00000133" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
80  x"00400134" x"20022222" x"00002222" x"00020422"     x"10000000" x"10000011" x"00000000" x"00000111"     x"00001111" x"00001111" x"00000133" x"00000022"     x"01030100" x"00000000" x"00000000" x"00000000
81  x"00400138" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000022" x"00000000" x"00000222"     x"00002222" x"00002222" x"00001111" x"00000111"     x"01010103" x"00000000" x"00000133" x"00000133
82  x"0040013C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00002222" x"00000222"     x"01020101" x"00000000" x"00001111" x"00001111
83  x"00400140" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"00002222" x"00002222
84  x"00400144" x"00221820" x"00001820" x"01020320"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
85  x"00400148" x"20011234" x"00001234" x"00010234"     x"10000000" x"00000220" x"00001111" x"00002222"     x"00001820" x"00003333" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
86  x"0040014C" x"20022345" x"00002345" x"00020405"     x"10000000" x"10000034" x"00000000" x"00001111"     x"00001234" x"00001234" x"00003333" x"00002222"     x"01030100" x"00000000" x"00000000" x"00000000
87  x"00400150" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000005" x"00000000" x"00002222"     x"00002345" x"00002345" x"00001234" x"00001111"     x"01010103" x"00000000" x"00003333" x"00003333
88  x"00400154" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00002345" x"00002222"     x"01020101" x"00000000" x"00001234" x"00001234
89  x"00400158" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"00002345" x"00002345
90  x"0040015C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
91  x"00400160" x"00221820" x"00001820" x"01020320"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
92  x"00400164" x"08100072" x"00000072" x"00100032"     x"00000001" x"00000220" x"00001234" x"00002345"     x"00001820" x"00003579" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
93  x"00400168" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000032" x"00000000" x"00000000"     x"00000072" x"00000000" x"00003579" x"00002345"     x"01030100" x"00000000" x"00000000" x"00000000
94  x"004001CC" x"200A0000" x"00000000" x"000A0000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00100103" x"00000000" x"00003579" x"00003579
95  x"004001D0" x"200B0555" x"00000555" x"000B0015"     x"10000001" x"10000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000010" x"00000000" x"00000000" x"00000000
96  x"004001D4" x"200C0AAA" x"00000AAA" x"000C012A"     x"10000001" x"10000015" x"00000000" x"00000000"     x"00000555" x"00000555" x"00000000" x"00000000"     x"010A0100" x"00000000" x"00000000" x"00000000
